date,confirmed,death,released,region,new,active
20200121,1,0,0,전국,0,1
20200122,1,0,0,전국,0,1
20200123,1,0,0,전국,0,1
20200124,2,0,0,전국,1,2
20200125,2,0,0,전국,0,2
20200126,2,0,0,전국,0,2
20200127,4,0,0,전국,2,4
20200128,4,0,0,전국,0,4
20200129,4,0,0,전국,0,4
20200130,7,0,0,전국,3,7
20200131,11,0,0,전국,4,11
20200201,12,0,0,전국,1,12
20200202,15,0,0,전국,3,15
20200203,15,0,0,전국,0,15
20200204,16,0,0,전국,1,16
20200205,21,0,1,전국,5,20
20200206,24,0,2,전국,3,22
20200207,24,0,2,전국,0,22
20200208,24,0,2,전국,0,22
20200209,27,0,3,전국,3,24
20200210,27,0,4,전국,0,23
20200211,28,0,4,전국,1,24
20200212,28,0,7,전국,0,21
20200213,28,0,7,전국,0,21
20200214,28,0,7,전국,0,21
20200215,28,0,9,전국,0,19
20200216,29,0,9,전국,1,20
20200217,30,0,10,전국,1,20
20200218,39,0,12,전국,9,27
20200219,46,0,16,전국,7,30
20200220,104,1,16,전국,58,87
20200221,204,1,17,전국,100,186
20200222,433,3,18,전국,229,412
20200223,608,6,18,전국,175,584
20200224,843,7,22,전국,235,814
20200225,977,10,22,전국,134,945
20200226,1261,12,24,전국,284,1225
20200227,1766,13,26,전국,505,1727
20200228,2337,13,27,전국,571,2297
20200229,3150,17,28,전국,813,3105
20200301,3736,18,30,전국,586,3688
20200302,4212,22,31,전국,476,4159
20200303,4812,28,34,전국,600,4750
20200304,5328,32,41,전국,516,5255
20200305,5766,35,88,전국,438,5643
20200306,6284,44,108,전국,518,6132
20200307,6767,44,118,전국,483,6605
20200308,7134,50,130,전국,367,6954
20200309,7382,51,166,전국,248,7165
20200310,7513,54,247,전국,131,7212
20200311,7755,60,288,전국,242,7407
20200312,7869,66,333,전국,114,7470
20200313,7979,67,510,전국,110,7402
20200314,8086,72,714,전국,107,7300
20200315,8162,75,834,전국,76,7253
20200316,8236,75,1137,전국,74,7024
20200317,8320,81,1401,전국,84,6838
20200318,8413,84,1540,전국,93,6789
20200319,8565,91,1947,전국,152,6527
20200320,8652,94,2233,전국,87,6325
20200321,8799,102,2612,전국,147,6085
20200322,8897,104,2909,전국,98,5884
20200323,8961,111,3166,전국,64,5684
20200324,9037,120,3507,전국,76,5410
20200325,9137,126,3730,전국,100,5281
20200326,9241,131,4144,전국,104,4966
20200327,9332,139,4528,전국,91,4665
20200328,9478,144,4811,전국,146,4523
20200329,9583,152,5033,전국,105,4398
20200330,9661,158,5228,전국,78,4275
20200331,9786,162,5408,전국,125,4216
20200401,9887,165,5567,전국,101,4155
20200402,9976,169,5828,전국,89,3979
20200403,10062,174,6021,전국,86,3867
20200404,10156,177,6325,전국,94,3654
20200405,10237,183,6463,전국,81,3591
20200406,10284,186,6598,전국,47,3500
20200407,10331,192,6694,전국,47,3445
20200408,10384,200,6776,전국,53,3408
20200409,10423,204,6973,전국,39,3246
20200410,10450,208,7117,전국,27,3125
20200411,10480,211,7243,전국,30,3026
20200412,10512,214,7368,전국,32,2930
20200413,10537,217,7447,전국,25,2873
20200414,10564,222,7534,전국,27,2808
20200415,10591,225,7616,전국,27,2750
20200416,10613,229,7757,전국,22,2627
20200417,10635,230,7829,전국,22,2576
20200418,10653,232,7937,전국,18,2484
20200419,10661,234,8042,전국,8,2385
20200420,10674,236,8114,전국,13,2324
20200421,10683,237,8213,전국,9,2233
20200422,10694,238,8277,전국,11,2179
20200423,10702,240,8411,전국,8,2051
20200424,10708,240,8501,전국,6,1967
20200425,10718,240,8635,전국,10,1843
20200426,10728,242,8717,전국,10,1769
20200427,10738,243,8764,전국,10,1731
20200428,10752,244,8854,전국,14,1654
20200429,10761,246,8922,전국,9,1593
20200430,10765,247,9059,전국,4,1459
20200501,10774,248,9072,전국,9,1454
20200502,10780,250,9123,전국,6,1407
20200503,10793,250,9183,전국,13,1360
20200504,10801,252,9217,전국,8,1332
20200505,10804,254,9283,전국,3,1267
20200506,10806,255,9333,전국,2,1218
20200507,10810,256,9419,전국,4,1135
20200508,10822,256,9484,전국,12,1082
20200509,10840,256,9568,전국,18,1016
20200510,10874,256,9610,전국,34,1008
20200511,10909,256,9632,전국,35,1021
20200512,10936,258,9670,전국,27,1008
20200513,10962,259,9695,전국,26,1008
20200514,10991,260,9762,전국,29,969
20200515,11018,260,9821,전국,27,937
20200516,11037,262,9851,전국,19,924
20200517,11050,262,9888,전국,13,900
20200518,11065,263,9904,전국,15,898
20200519,11078,263,9938,전국,13,877
20200520,11110,263,10066,전국,32,781
20200521,11122,264,10135,전국,12,723
20200522,11142,264,10162,전국,20,716
20200523,11165,266,10194,전국,23,705
20200524,11190,266,10213,전국,25,711
20200525,11206,267,10226,전국,16,713
20200526,11225,269,10275,전국,19,681
20200527,11265,269,10295,전국,40,701
20200528,11344,269,10340,전국,79,735
20200529,11402,269,10363,전국,58,770
20200530,11441,269,10398,전국,39,774
20200531,11468,270,10405,전국,27,793
20200601,11503,271,10422,전국,35,810
20200602,11541,272,10446,전국,38,823
20200603,11590,273,10467,전국,49,850
20200604,11629,273,10499,전국,39,857
20200605,11668,273,10506,전국,39,889
20200606,11719,273,10531,전국,51,915
20200607,11776,273,10552,전국,57,951
20200608,11814,273,10563,전국,38,978
20200609,11852,274,10589,전국,38,989
20200610,11902,276,10611,전국,50,1015
20200611,11947,276,10654,전국,45,1017
20200612,12003,277,10669,전국,56,1057
20200613,12051,277,10691,전국,48,1083
20200614,12084,277,10718,전국,33,1089
20200615,12121,277,10730,전국,37,1114
20200616,12155,278,10760,전국,34,1117
20200617,12198,279,10774,전국,43,1145
20200618,12257,280,10800,전국,59,1177
20200619,12306,280,10835,전국,49,1191
20200217,0,0,0,대구,0,0
20200218,1,0,0,대구,1,1
20200219,16,0,0,대구,15,16
20200220,30,0,0,대구,14,30
20200221,110,0,0,대구,80,110
20200222,193,1,0,대구,83,192
20200223,310,2,0,대구,117,308
20200224,483,2,0,대구,173,481
20200225,543,4,0,대구,60,539
20200226,710,5,1,대구,167,704
20200227,1132,6,1,대구,422,1125
20200228,1580,6,2,대구,448,1572
20200229,2236,10,2,대구,656,2224
20200301,2705,11,4,대구,469,2690
20200302,3081,15,4,대구,376,3062
20200303,3601,21,6,대구,520,3574
20200304,4006,25,6,대구,405,3975
20200305,4327,28,14,대구,321,4285
20200306,4694,31,15,대구,367,4648
20200307,5084,32,18,대구,390,5034
20200308,5381,36,18,대구,297,5327
20200309,5571,35,21,대구,190,5515
20200310,5663,38,92,대구,92,5533
20200311,5794,44,102,대구,131,5648
20200312,5867,48,114,대구,73,5705
20200313,5928,48,251,대구,61,5629
20200314,5990,51,401,대구,62,5538
20200315,6031,53,468,대구,41,5510
20200316,6066,53,734,대구,35,5279
20200317,6098,57,947,대구,32,5094
20200318,6144,58,1048,대구,46,5038
20200319,6241,65,1382,대구,97,4794
20200320,6275,67,1577,대구,34,4631
20200321,6344,73,1861,대구,69,4410
20200322,6387,75,2107,대구,43,4205
20200323,6411,82,2305,대구,24,4024
20200324,6442,88,2571,대구,31,3783
20200325,6456,92,2740,대구,14,3624
20200326,6482,94,3039,대구,26,3349
20200327,6516,98,3324,대구,34,3094
20200328,6587,101,3543,대구,71,2943
20200329,6610,106,3706,대구,23,2798
20200330,6624,111,3837,대구,14,2676
20200331,6684,114,3946,대구,60,2624
20200401,6704,115,4070,대구,20,2519
20200402,6725,117,4070,대구,21,2538
20200403,6734,121,4434,대구,9,2179
20200404,6761,122,4673,대구,27,1966
20200405,6768,127,4773,대구,7,1868
20200406,6781,129,4865,대구,13,1787
20200407,6794,134,4918,대구,13,1742
20200408,6803,137,4961,대구,9,1705
20200409,6807,139,5106,대구,4,1562
20200410,6807,142,5193,대구,0,1472
20200411,6814,145,5271,대구,7,1398
20200412,6816,146,5356,대구,2,1314
20200413,6819,147,5395,대구,3,1277
20200414,6822,152,5440,대구,3,1230
20200415,6823,155,5486,대구,1,1182
20200416,6827,158,5586,대구,4,1083
20200417,6827,159,5626,대구,0,1042
20200418,6830,160,5685,대구,3,985
20200419,6832,161,5743,대구,2,928
20200420,6833,163,5769,대구,1,901
20200421,6835,164,5793,대구,2,878
20200422,6836,165,5827,대구,1,844
20200423,6840,166,5890,대구,4,784
20200424,6842,166,5931,대구,2,745
20200425,6845,166,5974,대구,3,705
20200426,6846,168,6018,대구,1,660
20200427,6847,169,6040,대구,1,638
20200428,6849,170,6056,대구,2,623
20200429,6852,171,6075,대구,3,606
20200430,6852,172,6144,대구,0,536
20200501,6852,172,6144,대구,0,536
20200502,6852,174,6155,대구,0,523
20200503,6856,174,6167,대구,4,515
20200504,6856,174,6177,대구,0,505
20200505,6856,176,6199,대구,0,481
20200506,6856,177,6217,대구,0,462
20200507,6856,178,6249,대구,0,429
20200508,6859,178,6277,대구,3,404
20200509,6859,178,6306,대구,0,375
20200510,6861,178,6318,대구,2,365
20200511,6861,178,6318,대구,0,365
20200512,6862,179,6331,대구,1,352
20200513,6865,179,6322,대구,3,364
20200514,6865,179,6349,대구,0,337
20200515,6868,179,6366,대구,3,323
20200516,6869,181,6367,대구,1,321
20200517,6870,181,6376,대구,1,313
20200518,6871,182,6376,대구,1,313
20200519,6871,182,6389,대구,0,300
20200520,6872,182,6471,대구,1,219
20200521,6872,182,6498,대구,0,192
20200522,6872,182,6505,대구,0,185
20200523,6873,183,6516,대구,1,174
20200524,6873,183,6518,대구,0,172
20200525,6874,183,6519,대구,1,172
20200526,6875,184,6553,대구,1,138
20200527,6878,184,6557,대구,3,137
20200528,6880,184,6576,대구,2,120
20200529,6880,184,6587,대구,0,109
20200530,6882,184,6606,대구,2,92
20200531,6883,185,6607,대구,1,91
20200601,6884,186,6610,대구,1,88
20200602,6884,187,6616,대구,0,81
20200603,6885,188,6626,대구,1,71
20200604,6885,188,6634,대구,0,63
20200605,6886,188,6634,대구,1,64
20200606,6886,188,6638,대구,0,60
20200607,6887,188,6640,대구,1,59
20200608,6888,188,6641,대구,1,59
20200609,6888,188,6643,대구,0,57
20200610,6888,188,6648,대구,0,52
20200611,6888,188,6651,대구,0,49
20200612,6889,189,6653,대구,1,47
20200613,6892,189,6659,대구,3,44
20200614,6894,189,6661,대구,2,44
20200615,6894,189,6667,대구,0,38
20200616,6894,189,6671,대구,0,34
20200617,6895,189,6672,대구,1,34
20200618,6896,189,6674,대구,1,33
20200619,6896,189,6676,대구,0,31
